Tanggal;Nama Logam;Harga
31/10/2024;GOLD;Rp1.567.000
30/10/2024;GOLD;Rp1.560.000
29/10/2024;GOLD;Rp1.535.000
28/10/2024;GOLD;Rp1.527.000
27/10/2024;GOLD;Rp1.534.000
26/10/2024;GOLD;Rp1.534.000
25/10/2024;GOLD;Rp1.529.000
24/10/2024;GOLD;Rp1.515.000
23/10/2024;GOLD;Rp1.521.000
22/10/2024;GOLD;Rp1.510.000
21/10/2024;GOLD;Rp1.514.000
20/10/2024;GOLD;Rp1.514.000
19/10/2024;GOLD;Rp1.514.000
18/10/2024;GOLD;Rp1.503.000
17/10/2024;GOLD;Rp1.496.000
16/10/2024;GOLD;Rp1.491.000
15/10/2024;GOLD;Rp1.488.000
14/10/2024;GOLD;Rp1.490.000
13/10/2024;GOLD;Rp1.495.000
12/10/2024;GOLD;Rp1.495.000
11/10/2024;GOLD;Rp1.481.000
10/10/2024;GOLD;Rp1.473.000
09/10/2024;GOLD;Rp1.483.000
08/10/2024;GOLD;Rp1.491.000
07/10/2024;GOLD;Rp1.478.000
06/10/2024;GOLD;Rp1.482.000
05/10/2024;GOLD;Rp1.482.000
04/10/2024;GOLD;Rp1.471.000
03/10/2024;GOLD;Rp1.469.000
02/10/2024;GOLD;Rp1.464.000
01/10/2024;GOLD;Rp1.452.000
30/09/2024;GOLD;Rp1.464.000
29/09/2024;GOLD;Rp1.461.000
28/09/2024;GOLD;Rp1.461.000
27/09/2024;GOLD;Rp1.461.000
26/09/2024;GOLD;Rp1.461.000
25/09/2024;GOLD;Rp1.463.000
24/09/2024;GOLD;Rp1.443.000
23/09/2024;GOLD;Rp1.455.000
22/09/2024;GOLD;Rp1.455.000
21/09/2024;GOLD;Rp1.455.000
20/09/2024;GOLD;Rp1.443.000
19/09/2024;GOLD;Rp1.430.000
18/09/2024;GOLD;Rp1.440.000
17/09/2024;GOLD;Rp1.444.000
16/09/2024;GOLD;Rp1.443.000
15/09/2024;GOLD;Rp1.439.000
14/09/2024;GOLD;Rp1.439.000
13/09/2024;GOLD;Rp1.429.000
12/09/2024;GOLD;Rp1.409.000
11/09/2024;GOLD;Rp1.411.000
10/09/2024;GOLD;Rp1.399.000
09/09/2024;GOLD;Rp1.398.000
08/09/2024;GOLD;Rp1.405.000
07/09/2024;GOLD;Rp1.405.000
06/09/2024;GOLD;Rp1.414.000
05/09/2024;GOLD;Rp1.409.000
04/09/2024;GOLD;Rp1.406.000
03/09/2024;GOLD;Rp1.404.000
02/09/2024;GOLD;Rp1.401.000
01/09/2024;GOLD;Rp1.401.000
31/08/2024;GOLD;Rp1.401.000
30/08/2024;GOLD;Rp1.413.000
29/08/2024;GOLD;Rp1.412.000
28/08/2024;GOLD;Rp1.410.000
27/08/2024;GOLD;Rp1.420.000
26/08/2024;GOLD;Rp1.420.000
25/08/2024;GOLD;Rp1.420.000
24/08/2024;GOLD;Rp1.420.000
23/08/2024;GOLD;Rp1.411.000
22/08/2024;GOLD;Rp1.410.000
21/08/2024;GOLD;Rp1.415.000
20/08/2024;GOLD;Rp1.419.000
19/08/2024;GOLD;Rp1.418.000
18/08/2024;GOLD;Rp1.418.000
17/08/2024;GOLD;Rp1.418.000
16/08/2024;GOLD;Rp1.404.000
15/08/2024;GOLD;Rp1.414.000
14/08/2024;GOLD;Rp1.419.000
13/08/2024;GOLD;Rp1.419.000
12/08/2024;GOLD;Rp1.401.000
11/08/2024;GOLD;Rp1.401.000
10/08/2024;GOLD;Rp1.401.000
09/08/2024;GOLD;Rp1.409.000
08/08/2024;GOLD;Rp1.399.000
07/08/2024;GOLD;Rp1.399.000
06/08/2024;GOLD;Rp1.413.000
05/08/2024;GOLD;Rp1.420.000
04/08/2024;GOLD;Rp1.428.000
03/08/2024;GOLD;Rp1.428.000
02/08/2024;GOLD;Rp1.431.000
01/08/2024;GOLD;Rp1.433.000
31/07/2024;GOLD;Rp1.412.000
30/07/2024;GOLD;Rp1.400.000
29/07/2024;GOLD;Rp1.402.000
28/07/2024;GOLD;Rp1.396.000
27/07/2024;GOLD;Rp1.396.000
26/07/2024;GOLD;Rp1.386.000
25/07/2024;GOLD;Rp1.400.000
24/07/2024;GOLD;Rp1.406.000
23/07/2024;GOLD;Rp1.404.000
22/07/2024;GOLD;Rp1.404.000
21/07/2024;GOLD;Rp1.404.000
20/07/2024;GOLD;Rp1.404.000
19/07/2024;GOLD;Rp1.419.000
18/07/2024;GOLD;Rp1.427.000
17/07/2024;GOLD;Rp1.420.000
16/07/2024;GOLD;Rp1.403.000
15/07/2024;GOLD;Rp1.399.000
14/07/2024;GOLD;Rp1.400.000
13/07/2024;GOLD;Rp1.400.000
12/07/2024;GOLD;Rp1.399.000
11/07/2024;GOLD;Rp1.386.000
10/07/2024;GOLD;Rp1.380.000
09/07/2024;GOLD;Rp1.389.000
08/07/2024;GOLD;Rp1.396.000
07/07/2024;GOLD;Rp1.395.000
06/07/2024;GOLD;Rp1.395.000
05/07/2024;GOLD;Rp1.383.000
04/07/2024;GOLD;Rp1.378.000
03/07/2024;GOLD;Rp1.365.000
02/07/2024;GOLD;Rp1.368.000
01/07/2024;GOLD;Rp1.363.000
30/06/2024;GOLD;Rp1.365.000
29/06/2024;GOLD;Rp1.365.000
28/06/2024;GOLD;Rp1.360.000
27/06/2024;GOLD;Rp1.350.000
26/06/2024;GOLD;Rp1.361.000
25/06/2024;GOLD;Rp1.368.000
24/06/2024;GOLD;Rp1.360.000
23/06/2024;GOLD;Rp1.357.000
22/06/2024;GOLD;Rp1.357.000
21/06/2024;GOLD;Rp1.371.000
20/06/2024;GOLD;Rp1.355.000
19/06/2024;GOLD;Rp1.349.000
