Tanggal,Suku Bunga H-5,Suku Bunga The FED H-5,Data Inflasi H-5,Index Dollar H-5,Kurs Rupiah H-5,Harga Emas H-5,Suku Bunga H-4,Suku Bunga The FED H-4,Data Inflasi H-4,Index Dollar H-4,Kurs Rupiah H-4,Harga Emas H-4,Suku Bunga H-3,Suku Bunga The FED H-3,Data Inflasi H-3,Index Dollar H-3,Kurs Rupiah H-3,Harga Emas H-3,Suku Bunga H-2,Suku Bunga The FED H-2,Data Inflasi H-2,Index Dollar H-2,Kurs Rupiah H-2,Harga Emas H-2,Suku Bunga H-1,Suku Bunga The FED H-1,Data Inflasi H-1,Index Dollar H-1,Kurs Rupiah H-1,Harga Emas H-1,Suku Bunga,Suku Bunga The FED,Data Inflasi,Index Dollar,Kurs Rupiah,Harga Emas,Harga Emas IDR
2022-01-01,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,945000.0
2022-01-02,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,945000.0
2022-01-03,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,945000.0
2022-01-04,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.26,14300.0,1814.6,935000.0
2022-01-05,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.26,14300.0,1814.6,3.5,0.25,2.18,96.17,14355.0,1825.1,940000.0
2022-01-06,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.26,14300.0,1814.6,3.5,0.25,2.18,96.17,14355.0,1825.1,3.5,0.25,2.18,96.32,14390.0,1789.2,941000.0
2022-01-07,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.26,14300.0,1814.6,3.5,0.25,2.18,96.17,14355.0,1825.1,3.5,0.25,2.18,96.32,14390.0,1789.2,3.5,0.25,2.18,95.72,14355.0,1797.4,934000.0
2022-01-08,3.5,0.25,2.18,96.21,14264.0,1800.1,3.5,0.25,2.18,96.26,14300.0,1814.6,3.5,0.25,2.18,96.17,14355.0,1825.1,3.5,0.25,2.18,96.32,14390.0,1789.2,3.5,0.25,2.18,95.72,14355.0,1797.4,3.5,0.25,2.18,95.81,14338.33,1797.87,934000.0
2022-01-09,3.5,0.25,2.18,96.26,14300.0,1814.6,3.5,0.25,2.18,96.17,14355.0,1825.1,3.5,0.25,2.18,96.32,14390.0,1789.2,3.5,0.25,2.18,95.72,14355.0,1797.4,3.5,0.25,2.18,95.81,14338.33,1797.87,3.5,0.25,2.18,95.9,14321.67,1798.33,933500.0
2022-01-10,3.5,0.25,2.18,96.17,14355.0,1825.1,3.5,0.25,2.18,96.32,14390.0,1789.2,3.5,0.25,2.18,95.72,14355.0,1797.4,3.5,0.25,2.18,95.81,14338.33,1797.87,3.5,0.25,2.18,95.9,14321.67,1798.33,3.5,0.25,2.18,95.99,14305.0,1798.8,933000.0
2022-01-11,3.5,0.25,2.18,96.32,14390.0,1789.2,3.5,0.25,2.18,95.72,14355.0,1797.4,3.5,0.25,2.18,95.81,14338.33,1797.87,3.5,0.25,2.18,95.9,14321.67,1798.33,3.5,0.25,2.18,95.99,14305.0,1798.8,3.5,0.25,2.18,95.62,14300.0,1818.5,934000.0
2022-01-12,3.5,0.25,2.18,95.72,14355.0,1797.4,3.5,0.25,2.18,95.81,14338.33,1797.87,3.5,0.25,2.18,95.9,14321.67,1798.33,3.5,0.25,2.18,95.99,14305.0,1798.8,3.5,0.25,2.18,95.62,14300.0,1818.5,3.5,0.25,2.18,94.92,14315.0,1827.3,940000.0
2022-01-13,3.5,0.25,2.18,95.81,14338.33,1797.87,3.5,0.25,2.18,95.9,14321.67,1798.33,3.5,0.25,2.18,95.99,14305.0,1798.8,3.5,0.25,2.18,95.62,14300.0,1818.5,3.5,0.25,2.18,94.92,14315.0,1827.3,3.5,0.25,2.18,94.79,14290.0,1821.4,941000.0
2022-01-14,3.5,0.25,2.18,95.9,14321.67,1798.33,3.5,0.25,2.18,95.99,14305.0,1798.8,3.5,0.25,2.18,95.62,14300.0,1818.5,3.5,0.25,2.18,94.92,14315.0,1827.3,3.5,0.25,2.18,94.79,14290.0,1821.4,3.5,0.25,2.18,95.17,14295.0,1816.5,939000.0
2022-01-15,3.5,0.25,2.18,95.99,14305.0,1798.8,3.5,0.25,2.18,95.62,14300.0,1818.5,3.5,0.25,2.18,94.92,14315.0,1827.3,3.5,0.25,2.18,94.79,14290.0,1821.4,3.5,0.25,2.18,95.17,14295.0,1816.5,3.5,0.25,2.18,95.2,14301.67,1815.13,938000.0
